		Miranium costs for I/V/X/XV/XX are 100/100/100/1500/2000, unranked are just 100					Affixes already present on gear can have their ranks raised, so long as there are still enhancement slots available on the piece.																		
Crush Surge V	"Appendage Destruction" activation rate +9%	2 Robust Evello Horn	2 Insidia Mohawk	-	1 Infernium																				
Crush Surge X	"Appendage Destruction" activation rate +14%	3 Robust Evello Horn	3 Developed Balaena Fat	-	1 Cimmerian Cinnabar																				
Crush Surge XV	"Appendage Destruction" activation rate +19%	4 Robust Evello Horn	4 Developed Balaena Fat	-	1 Ouroboros Crystal																				
Crush Surge XX	"Appendage Destruction" activation rate +25%	5 Robust Evello Horn	5 Developed Balaena Fat	-	1 Parhelion Platinum																				
Underdog Surge I	"Underdog" activation rate +10%	1 Sticky Scirpo Silk	1 Stripped Plating	-	1 Aurorite																				
Underdog Surge V	"Underdog" activation rate +18%	2 Sticky Scirpo Silk	2 Stripped Plating	-	1 Infernium																				
Underdog Surge X	"Underdog" activation rate +28%	3 Sticky Scirpo Silk	3 Black Yggralith Scale	-	1 Cimmerian Cinnabar																				
Underdog Surge XV	"Underdog" activation rate +40%	4 Sticky Scirpo Silk	4 Black Yggralith Scale	-	1 Ouroboros Crystal																				
Underdog Surge XX	"Underdog" activation rate +50%	5 Sticky Scirpo Silk	5 Black Yggralith Scale	-	1 Parhelion Platinum																				
Artful Execution Surge I	"Artful Execution" activation rate +10%	1 Bone-In Thigh Meat	1 Evergreen Aprica Antlers	-	1 Aurorite																				
Artful Execution Surge V	"Artful Execution" activation rate +18%	2 Bone-In Thigh Meat	2 Evergreen Aprica Antlers	-	1 Infernium																				
Artful Execution Surge X	"Artful Execution" activation rate +28%	3 Bone-In Thigh Meat	3 Sparkling Blue Gem	-	1 Cimmerian Cinnabar																				
Artful Execution Surge XV	"Artful Execution" activation rate +40%	4 Bone-In Thigh Meat	4 Sparkling Blue Gem	-	1 Ouroboros Crystal																				
Artful Execution Surge XX	"Artful Execution" activation rate +50%	5 Bone-In Thigh Meat	5 Sparkling Blue Gem	-	1 Parhelion Platinum																				
Appendage Crusher	Lowers enemy Appendage Toughness by 1 rank	1 Emerald Horn	1 Shed Germivore Scales	1 Mortifole Pollen	1 White Cometite																				
Crush: Gain TP I	Gain 300 TP on Appendage destruction	1 Pristine Insect Jaw	1 Oc-serv Western Crest	1 Vesper Fry	1 White Cometite																				
Crush: Gain TP V	Gain 500 TP on Appendage destruction	2 Pristine Insect Jaw	2 Oc-serv Western Crest	2 Vesper Fry	1 Dawnstone																				
Crush: Gain TP X	Gain 750 TP on Appendage destruction	3 Pristine Insect Jaw	3 Golden Petramand Silk	3 Red Scintimure Tentacle	1 Everfreeze Ore																				
Crush: Gain TP XV	Gain 1000 TP on Appendage destruction	4 Pristine Insect Jaw	4 Golden Petramand Silk	4 Red Scintimure Tentacle	1 Foucaultium																				
Crush: Gain TP XX	Gain 1500 TP on Appendage destruction	5 Pristine Insect Jaw	5 Golden Petramand Silk	5 Red Scintimure Tentacle	1 Bonjelium																				
Ranged Appendage Damage I	Ranged weapon dmg vs Appendages +20%	1 Sapphire Horn	1 Monoceros Hoof Hook	1 Cracked Claw	1 White Cometite																				
Ranged Appendage Damage V	Ranged weapon dmg vs Appendages +36%	2 Sapphire Horn	2 Monoceros Hoof Hook	2 Cracked Claw	1 Dawnstone																				
Ranged Appendage Damage X	Ranged weapon dmg vs Appendages +56%	3 Sapphire Horn	3 Malevolent Petramand Silk	3 Brown Monoceros Horn	1 Everfreeze Ore																				
Ranged Appendage Damage XV	Ranged weapon dmg vs Appendages +80%	4 Sapphire Horn	4 Malevolent Petramand Silk	4 Brown Monoceros Horn	1 Foucaultium																				
Ranged Appendage Damage XX	Ranged weapon dmg vs Appendages +100%	5 Sapphire Horn	5 Malevolent Petramand Silk	5 Brown Monoceros Horn	1 Bonjelium																				
Night Vision I	Melee/Ranged Accuracy at Night +10%	1 Ovis Polishing Stone	-	-	1 Arc Sand Ore																				
Night Vision V	Melee/Ranged Accuracy at Night +18%	2 Ovis Polishing Stone	-	-	1 Lionbone Bort																				
Night Vision X	Melee/Ranged Accuracy at Night +28%	3 Ovis Polishing Stone	-	-	1 Enduron Lead																				
Night Vision XV	Melee/Ranged Accuracy at Night +40%	4 Ovis Polishing Stone	-	-	1 Boiled-Egg Ore																				
Night Vision XX	Melee/Ranged Accuracy at Night +50%	5 Ovis Polishing Stone	-	-	1 Marine Rutile																				
Max HP Up I	Max HP +100	1 Succulent Meat	-	-	1 Arc Sand Ore																				
Max HP Up V	Max HP +300	2 Succulent Meat	-	-	1 Lionbone Bort																				
Max HP Up X	Max HP +550	3 Succulent Meat	-	-	1 Enduron Lead																				
Max HP Up XV	Max HP +800	4 Succulent Meat	-	-	1 Boiled-Egg Ore																				
Max HP Up XX	Max HP +1500	5 Succulent Meat	-	-	1 Marine Rutile																				
Max TP Up I	Max TP +500	1 Fleecy Fur	-	-	1 Arc Sand Ore																				
Max TP Up V	Max TP +900	2 Fleecy Fur	-	-	1 Lionbone Bort																				
Max TP Up X	Max TP +1400	3 Fleecy Fur	-	-	1 Enduron Lead																				
Max TP Up XV	Max TP +1900	4 Fleecy Fur	-	-	1 Boiled-Egg Ore																				
Max TP Up XX	Max TP +3000	5 Fleecy Fur	-	-	1 Marine Rutile																				
Evasion Up I	Evasion +5	1 Black Fog Deposits	-	-	1 Arc Sand Ore																				
Evasion Up V	Evasion +9	2 Black Fog Deposits	-	-	1 Lionbone Bort																				
Evasion Up X	Evasion +14	8 Cloudy Eyeball	8 Gerrid Shell	8 Jacul Waterfall Orb	2 Everfreeze Ore																				
Evasion Up XV	Evasion +20	16 Cloudy Eyeball	16 Gerrid Shell	16 Jacul Waterfall Orb	4 Foucaultium																				
Evasion Up XX	Evasion +25	32 Cloudy Eyeball	32 Gerrid Shell	32 Jacul Waterfall Orb	8 Bonjelium																				
Potential Up I	Potential +4	1 Fleecy Fur	-	-	1 Arc Sand Ore																				
Potential Up V	Potential +12	2 Fleecy Fur	-	-	1 Lionbone Bort																				
Potential Up X	Potential +22	8 Distilled Sap	8 Blazing Gas Sac	8 Lepyx Moonstone	2 Everfreeze Ore																				
Potential Up XV	Potential +32	16 Distilled Sap	16 Blazing Gas Sac	16 Lepyx Moonstone	4 Foucaultium																				
Potential Up XX	Potential +50	32 Distilled Sap	32 Blazing Gas Sac	32 Lepyx Moonstone	8 Bonjelium																				
Max HP Boost I	HP Max +5%	1 Redwood Aprica Antlers	1 Raw Meaty Caecus Liver	1 Succulent Meat	1 White Cometite																				
Max HP Boost V	HP Max +9%	2 Redwood Aprica Antlers	2 Raw Meaty Caecus Liver	2 Succulent Meat	1 Dawnstone																				
Max HP Boost X	HP Max +14%	6 Redwood Aprica Antlers	6 Golden Cantor Tooth	6 Big Balaena Water Bag	2 Everfreeze Ore																				
Max HP Boost XV	HP Max +20%	12 Redwood Aprica Antlers	12 Golden Cantor Tooth	12 Big Balaena Water Bag	4 Foucaultium																				
Max HP Boost XX	HP Max +25%	24 Redwood Aprica Antlers	24 Golden Cantor Tooth	24 Big Balaena Water Bag	8 Bonjelium																				
Max TP Boost I	TP Max +5%	1 Hard Pom Pom	1 Black Thallus Antenna	1 Fleecy Fur	1 White Cometite																				
Max TP Boost V	TP Max +9%	2 Hard Pom Pom	2 Black Thallus Antenna	2 Fleecy Fur	1 Dawnstone																				
Max TP Boost X	TP Max +14%	4 Hard Pom Pom	4 Fatty Fish Belly	4 Scintimure Fat	2 Everfreeze Ore																				
Max TP Boost XV	TP Max +20%	8 Hard Pom Pom	8 Fatty Fish Belly	8 Scintimure Fat	3 Foucaultium																				
Max TP Boost XX	TP Max +25%	16 Hard Pom Pom	16 Fatty Fish Belly	16 Scintimure Fat	4 Bonjelium																				
Evasion Boost I	Evasion +5%	1 Slimy Epithelium	1 Fal-swo Solar Crest	1 Black Fog Deposits	1 White Cometite																				
Evasion Boost V	Evasion +9%	2 Slimy Epithelium	2 Fal-swo Solar Crest	2 Black Fog Deposits	1 Dawnstone																				
Evasion Boost X	Evasion +14%	8 Slimy Epithelium	8 Brilliant Tersqual Liquid	8 Blinding Lophid Extract	2 Everfreeze Ore																				
Evasion Boost XV	Evasion +20%	24 Slimy Epithelium	24 Brilliant Tersqual Liquid	24 Blinding Lophid Extract	8 Foucaultium																				
Evasion Boost XX	Evasion +25%	48 Slimy Epithelium	48 Brilliant Tersqual Liquid	48 Blinding Lophid Extract	16 Bonjelium																				
Potential Boost I	Potential +5%	1 Nutritious Microbes	1 White Fungal Egg	1 Fleecy Fur	1 White Cometite																				
Potential Boost V	Potential +9%	2 Nutritious Microbes	2 White Fungal Egg	2 Fleecy Fur	1 Dawnstone																				
Potential Boost X	Potential +14%	8 Nutritious Microbes	8 Clear Gerrid Soup	8 Gularthian Everflame	2 Everfreeze Ore																				
Potential Boost XV	Potential +20%	24 Nutritious Microbes	24 Clear Gerrid Soup	24 Gularthian Everflame	8 Foucaultium																				
Potential Boost XX	Potential +25%	48 Nutritious Microbes	48 Clear Gerrid Soup	48 Gularthian Everflame	16 Bonjelium																				
Max HP Drive I	Skell Max HP +1%	1 Succulent Meat	1 Fresh Fish Meat	-	1 Aurorite																				
Max HP Drive V	Skell Max HP +5%	2 Succulent Meat	2 Fresh Fish Meat	-	1 Infernium																				
Max HP Drive X	Skell Max HP +10%	8 Succulent Meat	8 E.M. Unit	-	2 Cimmerian Cinnabar																				
Max HP Drive XV	Skell Max HP +15%	16 Succulent Meat	16 E.M. Unit	-	4 Ouroboros Crystal																				
Max HP Drive XX	Skell Max HP +20%	32 Succulent Meat	32 E.M. Unit	-	8 Parhelion Platinum																				
Max GP Drive I	Skell Max GP +1%	1 Fleecy Fur	1 Gooey Gunge	-	1 Aurorite																				
Max GP Drive V	Skell Max GP +5%	2 Fleecy Fur	2 Gooey Gunge	-	1 Infernium																				
Max GP Drive X	Skell Max GP +10%	8 Fleecy Fur	8 S.P. Unit	-	2 Cimmerian Cinnabar																				
Max GP Drive XV	Skell Max GP +15%	16 Fleecy Fur	16 S.P. Unit	-	4 Ouroboros Crystal																				
Max GP Drive XX	Skell Max GP +20%	32 Fleecy Fur	32 S.P. Unit	-	8 Parhelion Platinum																				
Melee Acc Drive I	Skell Melee Acc +1%	1 Muscled Suid Bulge	1 Combat Boost Meds	-	1 Aurorite																				
Melee Acc Drive V	Skell Melee Acc +5%	2 Muscled Suid Bulge	2 Combat Boost Meds	-	1 Infernium																				
Melee Acc Drive X	Skell Melee Acc +10%	3 Muscled Suid Bulge	3 T.P. Unit	-	1 Cimmerian Cinnabar																				
Melee Acc Drive XV	Skell Melee Acc +15%	4 Muscled Suid Bulge	4 T.P. Unit	-	1 Ouroboros Crystal																				
Melee Acc Drive XX	Skell Melee Acc +20%	5 Muscled Suid Bulge	5 T.P. Unit	-	1 Parhelion Platinum																				
Ranged Acc Drive I	Skell Ranged Acc +1%	1 Appetizing Suid Tail	1 Small Scale	-	1 Aurorite																				
Ranged Acc Drive V	Skell Ranged Acc +5%	2 Appetizing Suid Tail	2 Small Scale	-	1 Infernium																				
Ranged Acc Drive X	Skell Ranged Acc +10%	3 Appetizing Suid Tail	3 R.B. Unit	-	1 Cimmerian Cinnabar																				
Ranged Acc Drive XV	Skell Ranged Acc +15%	4 Appetizing Suid Tail	4 R.B. Unit	-	1 Ouroboros Crystal																				
Ranged Acc Drive XX	Skell Ranged Acc +20%	5 Appetizing Suid Tail	5 R.B. Unit	-	1 Parhelion Platinum																				
Evasion Drive I	Skell Evasion +1%	1 Black Fog Deposits	1 Rotten Meat	-	1 Aurorite																				
Evasion Drive V	Skell Evasion +5%	2 Black Fog Deposits	2 Rotten Meat	-	1 Infernium																				
Evasion Drive X	Skell Evasion +10%	8 Black Fog Deposits	8 Mollusk Mucus	-	2 Cimmerian Cinnabar																				
Evasion Drive XV	Skell Evasion +15%	24 Black Fog Deposits	24 Mollusk Mucus	-	8 Ouroboros Crystal																				
Evasion Drive XX	Skell Evasion +20%	48 Black Fog Deposits	48 Mollusk Mucus	-	16 Parhelion Platinum																				
Melee Attack Drive I	Skell Melee Pow +1%	1 Muscled Suid Bulge	1 Muscled Simius Bulge	-	1 Aurorite																				
Melee Attack Drive V	Skell Melee Pow +5%	2 Muscled Suid Bulge	2 Muscled Simius Bulge	-	1 Infernium																				
Melee Attack Drive X	Skell Melee Pow +10%	8 Muscled Suid Bulge	3 Pristine Bristle	-	2 Cimmerian Cinnabar																				
Melee Attack Drive XV	Skell Melee Pow +15%	16 Muscled Suid Bulge	6 Pristine Bristle	-	4 Ouroboros Crystal																				
Melee Attack Drive XX	Skell Melee Pow +20%	32 Muscled Suid Bulge	12 Pristine Bristle	-	8 Parhelion Platinum																				
Ranged Attack Drive I	Skell Ranged Pow +1%	1 Appetizing Suid Tail	1 Dual Boards	-	1 Aurorite																				
Ranged Attack Drive V	Skell Ranged Pow +5%	2 Appetizing Suid Tail	2 Dual Boards	-	1 Infernium																				
Ranged Attack Drive X	Skell Ranged Pow +10%	8 Appetizing Suid Tail	3 Rainbow Carving Shard	-	2 Cimmerian Cinnabar																				
Ranged Attack Drive XV	Skell Ranged Pow +15%	16 Appetizing Suid Tail	6 Rainbow Carving Shard	-	4 Ouroboros Crystal																				
Ranged Attack Drive XX	Skell Ranged Pow +20%	32 Appetizing Suid Tail	12 Rainbow Carving Shard	-	8 Parhelion Platinum																				
Potential Drive I	Skell Potential +1%	1 Fleecy Fur	1 Orange Tequila	-	1 Aurorite																				
Potential Drive V	Skell Potential +5%	2 Fleecy Fur	2 Orange Tequila	-	1 Infernium																				
Potential Drive X	Skell Potential +10%	6 Fleecy Fur	3 Pristine Whiskers	-	2 Cimmerian Cinnabar																				
Potential Drive XV	Skell Potential +15%	12 Fleecy Fur	4 Pristine Whiskers	-	4 Ouroboros Crystal																				
Potential Drive XX	Skell Potential +20%	24 Fleecy Fur	5 Pristine Whiskers	-	8 Parhelion Platinum																				
Bind: Refuel I	Restore 5 fuel/s while restraining enemy	1 Supple Tail	1 Fine Transparent Belt	-	1 Aurorite																				
Bind: Refuel V	Restore 9 fuel/s while restraining enemy	2 Supple Tail	2 Fine Transparent Belt	-	1 Infernium																				
Bind: Refuel X	Restore 14 fuel/s while restraining enemy	3 Supple Tail	3 Quality Skin	-	1 Cimmerian Cinnabar																				
Bind: Refuel XV	Restore 20 fuel/s while restraining enemy	4 Supple Tail	4 Quality Skin	-	1 Ouroboros Crystal																				
Bind: Refuel XX	Restore 25 fuel/s while restraining enemy	5 Supple Tail	5 Quality Skin	-	1 Parhelion Platinum																				
Fuel Efficiency Up I	Skell fuel efficiency in battle +5%	1 Black Puff	1 Caro Tail Light	1 Standard Coil	1 White Cometite																				
Fuel Efficiency Up V	Skell fuel efficiency in battle +25%	2 Black Puff	2 Caro Tail Light	2 Standard Coil	1 Dawnstone																				
Fuel Efficiency Up X	Skell fuel efficiency in battle +50%	3 Black Puff	3 Giant Protein	3 Filiavent Intestine	1 Everfreeze Ore																				
Fuel Efficiency Up XV	Skell fuel efficiency in battle +75%	4 Black Puff	4 Giant Protein	4 Filiavent Intestine	1 Foucaultium																				
Fuel Efficiency Up XX	Skell fuel efficiency in battle +100%	5 Black Puff	5 Giant Protein	5 Filiavent Intestine	1 Bonjelium																				
Physical Res Up I	Physical Res +5	1 Cinicula Shell	1 Falsaxum Shell	1 Suid Fillet	1 White Cometite																				
Physical Res Up V	Physical Res +9	2 Cinicula Shell	2 Falsaxum Shell	2 Suid Fillet	1 Dawnstone																				
Physical Res Up X	Physical Res +14	3 Cinicula Shell	3 Ictus Shell	3 Golden Blatta Wing	1 Everfreeze Ore																				
Physical Res Up XV	Physical Res +20	4 Cinicula Shell	4 Ictus Shell	4 Golden Blatta Wing	1 Foucaultium																				
Physical Res Up XX	Physical Res +25	5 Cinicula Shell	5 Ictus Shell	5 Golden Blatta Wing	1 Bonjelium																				
Beam Res Up I	Beam Res +5	1 Lead Carapace	1 Ocher Stabilizer	1 Adsecula Gold Nugget	1 White Cometite																				
Beam Res Up V	Beam Res +9	2 Lead Carapace	2 Ocher Stabilizer	2 Adsecula Gold Nugget	1 Dawnstone																				
Beam Res Up X	Beam Res +14	3 Lead Carapace	3 Blue Milsaadi Hood	3 Pink Ceto Membrane	1 Everfreeze Ore																				
Beam Res Up XV	Beam Res +20	4 Lead Carapace	4 Blue Milsaadi Hood	4 Pink Ceto Membrane	1 Foucaultium																				
Beam Res Up XX	Beam Res +25	5 Lead Carapace	5 Blue Milsaadi Hood	5 Pink Ceto Membrane	1 Bonjelium																				
Electric Res Up I	Electric Res +5	1 Squishy Cartilage	1 Stout Purgovent Extract	1 Lepyx Elastic Cell	1 White Cometite																				
Electric Res Up V	Electric Res +9	2 Squishy Cartilage	2 Stout Purgovent Extract	2 Lepyx Elastic Cell	1 Dawnstone																				
Electric Res Up X	Electric Res +14	3 Squishy Cartilage	3 Purple Scintimure Tentacle	3 Aeviter Membrane	1 Everfreeze Ore																				
Electric Res Up XV	Electric Res +20	4 Squishy Cartilage	4 Purple Scintimure Tentacle	4 Aeviter Membrane	1 Foucaultium																				
Electric Res Up XX	Electric Res +25	5 Squishy Cartilage	5 Purple Scintimure Tentacle	5 Aeviter Membrane	1 Bonjelium																				
Thermal Res Up I	Thermal Res +5	1 Shiny Copper Caro Plate	1 Quo Pod	1 Potamus Life Lung	1 White Cometite																				
Thermal Res Up V	Thermal Res +9	2 Shiny Copper Caro Plate	2 Quo Pod	2 Potamus Life Lung	1 Dawnstone																				
Thermal Res Up X	Thermal Res +14	3 Shiny Copper Caro Plate	3 Scorching Giant Cells	3 Tersqual Fire Pouch	1 Everfreeze Ore																				
Thermal Res Up XV	Thermal Res +20	4 Shiny Copper Caro Plate	4 Scorching Giant Cells	4 Tersqual Fire Pouch	1 Foucaultium																				
Thermal Res Up XX	Thermal Res +25	5 Shiny Copper Caro Plate	5 Scorching Giant Cells	5 Tersqual Fire Pouch	1 Bonjelium																				
Ether Res Up I	Ether Res +5	1 Opaque Mirror	1 Upgraded Sensor Part	1 Medicinal Blatta Oil	1 White Cometite																				
Ether Res Up V	Ether Res +9	2 Opaque Mirror	2 Upgraded Sensor Part	2 Medicinal Blatta Oil	1 Dawnstone																				
Ether Res Up X	Ether Res +14	3 Opaque Mirror	3 Red Milsaadi Hood	3 Gold Ceto Membrane	1 Everfreeze Ore																				
Ether Res Up XV	Ether Res +20	4 Opaque Mirror	4 Red Milsaadi Hood	4 Gold Ceto Membrane	1 Foucaultium																				
Ether Res Up XX	Ether Res +25	5 Opaque Mirror	5 Red Milsaadi Hood	5 Gold Ceto Membrane	1 Bonjelium																				
Gravity Res Up I	Gravity Res +5	1 Large Hoof	1 Genuine Plate	1 Tricolored Ovis Meat	1 White Cometite																				
Gravity Res Up V	Gravity Res +9	2 Large Hoof	2 Genuine Plate	2 Tricolored Ovis Meat	1 Dawnstone																				
Gravity Res Up X	Gravity Res +14	3 Large Hoof	3 Oc-serv Southern Crest	3 Oc-serv Eastern Crest	1 Everfreeze Ore																				
Gravity Res Up XV	Gravity Res +20	4 Large Hoof	4 Oc-serv Southern Crest	4 Oc-serv Eastern Crest	1 Foucaultium																				
Gravity Res Up XX	Gravity Res +25	5 Large Hoof	5 Oc-serv Southern Crest	5 Oc-serv Eastern Crest	1 Bonjelium																				
Resist Stagger I	Break resistance +5	1 Scirpo Silk	-	-	1 Arc Sand Ore																				
Resist Stagger V	Break resistance +25	2 Scirpo Silk	-	-	1 Lionbone Bort																				
Resist Stagger X	Break resistance +50	3 Scirpo Silk	-	-	1 Enduron Lead																				
Resist Stagger XV	Break resistance +75	4 Scirpo Silk	-	-	1 Boiled-Egg Ore																				
Resist Stagger XX	Break resistance +100	5 Scirpo Silk	-	-	1 Marine Rutile																				
Resist Flinch I	Flinch resistance +5	1 Taut Leather	-	-	1 Arc Sand Ore																				
Resist Flinch V	Flinch resistance +25	2 Taut Leather	-	-	1 Lionbone Bort																				
Resist Flinch X	Flinch resistance +50	3 Taut Leather	-	-	1 Enduron Lead																				
Resist Flinch XV	Flinch resistance +75	4 Taut Leather	-	-	1 Boiled-Egg Ore																				
Resist Flinch XX	Flinch resistance +100	5 Taut Leather	-	-	1 Marine Rutile																				
Resist Topple I	Topple resistance +5	1 Auravis Croaking Bag	1 Smooth Tail Fin	-	1 Aurorite																				
Resist Topple V	Topple resistance +25	2 Auravis Croaking Bag	2 Smooth Tail Fin	-	1 Infernium																				
Resist Topple X	Topple resistance +50	3 Auravis Croaking Bag	3 Thick Coronid Hide	-	1 Cimmerian Cinnabar																				
Resist Topple XV	Topple resistance +75	4 Auravis Croaking Bag	4 Thick Coronid Hide	-	1 Ouroboros Crystal																				
Resist Topple XX	Topple resistance +100	5 Auravis Croaking Bag	5 Thick Coronid Hide	-	1 Parhelion Platinum																				
Resist Knockback I	Knockback resistance +5	1 Lovely Pom Pom	-	-	1 Arc Sand Ore																				
Resist Knockback V	Knockback resistance +25	2 Lovely Pom Pom	-	-	1 Lionbone Bort																				
Resist Knockback X	Knockback resistance +50	3 Lovely Pom Pom	-	-	1 Enduron Lead																				
Resist Knockback XV	Knockback resistance +75	4 Lovely Pom Pom	-	-	1 Boiled-Egg Ore																				
Resist Knockback XX	Knockback resistance +100	5 Lovely Pom Pom	-	-	1 Marine Rutile																				
Resist Launch I	Launch resistance +5	1 Auravis Laughing Bag	1 Caecus Crest	-	1 Aurorite																				
Resist Launch V	Launch resistance +25	2 Auravis Laughing Bag	2 Caecus Crest	-	1 Infernium																				
Resist Launch X	Launch resistance +50	3 Auravis Laughing Bag	3 Red Filiavent Tentacle	-	1 Cimmerian Cinnabar																				
Resist Launch XV	Launch resistance +75	4 Auravis Laughing Bag	4 Red Filiavent Tentacle	-	1 Ouroboros Crystal																				
Resist Launch XX	Launch resistance +100	5 Auravis Laughing Bag	5 Red Filiavent Tentacle	-	1 Parhelion Platinum																				
Resist Stun I	Stun resistance +5	1 Upgraded Jammer	1 Smelly Fish Meat	-	1 Aurorite																				
Resist Stun V	Stun resistance +25	2 Upgraded Jammer	2 Smelly Fish Meat	-	1 Infernium																				
Resist Stun X	Stun resistance +50	3 Upgraded Jammer	3 Black Filiavent Tentacle	-	1 Cimmerian Cinnabar																				
Resist Stun XV	Stun resistance +75	4 Upgraded Jammer	4 Black Filiavent Tentacle	-	1 Ouroboros Crystal																				
Resist Stun XX	Stun resistance +100	5 Upgraded Jammer	5 Black Filiavent Tentacle	-	1 Parhelion Platinum																				
Resist Sleep I	Sleep resistance +5	1 Musky Nectar	-	-	1 Arc Sand Ore																				
Resist Sleep V	Sleep resistance +25	2 Musky Nectar	-	-	1 Lionbone Bort																				
Resist Sleep X	Sleep resistance +50	3 Musky Nectar	-	-	1 Enduron Lead																				
Resist Sleep XV	Sleep resistance +75	4 Musky Nectar	-	-	1 Boiled-Egg Ore																				
Resist Sleep XX	Sleep resistance +100	5 Musky Nectar	-	-	1 Marine Rutile																				
Resist Taunt I	Taunt resistance +5	1 Puge Self-Destruct Mechanism	-	-	1 Arc Sand Ore																				
Resist Taunt V	Taunt resistance +25	2 Puge Self-Destruct Mechanism	-	-	1 Lionbone Bort																				
Resist Taunt X	Taunt resistance +50	3 Puge Self-Destruct Mechanism	-	-	1 Enduron Lead																				
Resist Taunt XV	Taunt resistance +75	4 Puge Self-Destruct Mechanism	-	-	1 Boiled-Egg Ore																				
Resist Taunt XX	Taunt resistance +100	5 Puge Self-Destruct Mechanism	-	-	1 Marine Rutile																				
Resist Control I	Control resistance +5	1 Cracked Claw	-	-	1 Arc Sand Ore																				
Resist Control V	Control resistance +25	2 Cracked Claw	-	-	1 Lionbone Bort																				
Resist Control X	Control resistance +50	3 Cracked Claw	-	-	1 Enduron Lead																				
Resist Control XV	Control resistance +75	4 Cracked Claw	-	-	1 Boiled-Egg Ore																				
Resist Control XX	Control resistance +100	5 Cracked Claw	-	-	1 Marine Rutile																				
Resist Virus I	Virus resistance +5	1 Lepyx Sunstone	-	-	1 Arc Sand Ore																				
Resist Virus V	Virus resistance +25	2 Lepyx Sunstone	-	-	1 Lionbone Bort																				
Resist Virus X	Virus resistance +50	3 Lepyx Sunstone	-	-	1 Enduron Lead																				
Resist Virus XV	Virus resistance +75	4 Lepyx Sunstone	-	-	1 Boiled-Egg Ore																				
Resist Virus XX	Virus resistance +100	5 Lepyx Sunstone	-	-	1 Marine Rutile																				
Resist Blackout I	Blackout resistance +5	1 Dull Stone	-	-	1 Arc Sand Ore																				
Resist Blackout V	Blackout resistance +25	2 Dull Stone	-	-	1 Lionbone Bort																				
Resist Blackout X	Blackout resistance +50	3 Dull Stone	-	-	1 Enduron Lead																				
Resist Blackout XV	Blackout resistance +75	4 Dull Stone	-	-	1 Boiled-Egg Ore																				
Resist Blackout XX	Blackout resistance +100	5 Dull Stone	-	-	1 Marine Rutile																				
Resist Fatigue I	Fatigue resistance +5	1 Red Blatta Wing	-	-	1 Arc Sand Ore																				
Resist Fatigue V	Fatigue resistance +25	2 Red Blatta Wing	-	-	1 Lionbone Bort																				
Resist Fatigue X	Fatigue resistance +50	3 Red Blatta Wing	-	-	1 Enduron Lead																				
Resist Fatigue XV	Fatigue resistance +75	4 Red Blatta Wing	-	-	1 Boiled-Egg Ore																				
Resist Fatigue XX	Fatigue resistance +100	5 Red Blatta Wing	-	-	1 Marine Rutile																				
Resist Slow Arts I	Slow Arts resistance +5	1 Pristine Insect Leg	-	-	1 Arc Sand Ore																				
Resist Slow Arts V	Slow Arts resistance +25	2 Pristine Insect Leg	-	-	1 Lionbone Bort																				
Resist Slow Arts X	Slow Arts resistance +50	3 Pristine Insect Leg	-	-	1 Enduron Lead																				
Resist Slow Arts XV	Slow Arts resistance +75	4 Pristine Insect Leg	-	-	1 Boiled-Egg Ore																				
Resist Slow Arts XX	Slow Arts resistance +100	5 Pristine Insect Leg	-	-	1 Marine Rutile																				
Resist Physical Res Down I	Physical Res Down resistance +5	1 Tough Humpsteak	-	-	1 Arc Sand Ore																				
Resist Physical Res Down V	Physical Res Down resistance +25	2 Tough Humpsteak	-	-	1 Lionbone Bort																				
Resist Physical Res Down X	Physical Res Down resistance +50	3 Tough Humpsteak	-	-	1 Enduron Lead																				
Resist Physical Res Down XV	Physical Res Down resistance +75	4 Tough Humpsteak	-	-	1 Boiled-Egg Ore																				
Resist Physical Res Down XX	Physical Res Down resistance +100	5 Tough Humpsteak	-	-	1 Marine Rutile																				
Resist Beam Res Down I	Beam Res Down resistance +5	1 Duoguill Broth	-	-	1 Arc Sand Ore																				
Resist Beam Res Down V	Beam Res Down resistance +25	2 Duoguill Broth	-	-	1 Lionbone Bort																				
Resist Beam Res Down X	Beam Res Down resistance +50	3 Duoguill Broth	-	-	1 Enduron Lead																				
Resist Beam Res Down XV	Beam Res Down resistance +75	4 Duoguill Broth	-	-	1 Boiled-Egg Ore																				
Resist Beam Res Down XX	Beam Res Down resistance +100	5 Duoguill Broth	-	-	1 Marine Rutile																				
Resist Thermal Res Down I	Thermal Res Down resistance +5	1 Slimy Tongue	-	-	1 Arc Sand Ore																				
Resist Thermal Res Down V	Thermal Res Down resistance +25	2 Slimy Tongue	-	-	1 Lionbone Bort																				
Resist Thermal Res Down X	Thermal Res Down resistance +50	3 Slimy Tongue	-	-	1 Enduron Lead																				
Resist Thermal Res Down XV	Thermal Res Down resistance +75	4 Slimy Tongue	-	-	1 Boiled-Egg Ore																				
Resist Thermal Res Down XX	Thermal Res Down resistance +100	5 Slimy Tongue	-	-	1 Marine Rutile																				
Resist Electric Res Down I	Electric Res Down resistance +5	1 Blue Electrical Tentacle	-	-	1 Arc Sand Ore																				
Resist Electric Res Down V	Electric Res Down resistance +25	2 Blue Electrical Tentacle	-	-	1 Lionbone Bort																				
