the	currently replacing Japanese names with English							You can purchase all enemy drops from the online console in the BLADE Barracks using Reward Tickets.			
Name	Client	Location	Story	Prereqs	Gold	Exp	Reward	Objectives	Notes		
Mystery Man	Professor B	Industrial District	5	-	14000	230	Fig: Miramobile	Head to Waterway Tangle in Noctilum; Defeat Gadd and 3 BLADE Snipers; Pick up the Tykki Sap; Deliver it to Professor B; Purchase a car from Graham; Talk to Professor B; Talk to Professor B; Obtain 1 Topaz Wine; Deliver it to Professor B	You can either walk past some lv20ish Turbas; or sneak past some lv40ish Dilus to reach the sap. Don't forget to pick it up after fighting Gadd. The car you purchase doesn't change any rewards; so feel free to pick the cheapest. Topaz Wine drops from Tectinsulas in Oblivia; break the abdomen. Easy ones are located in northern Aaroy Plain		
Professor B's Return	Veven	Industrial District	7	Mystery Man	17000	280	Fig: Factory 1.21;Factory 1.21 opens	Talk to Professor B; Talk to him again and agree to defend against enemies for 3 minutes; Collect 5 Blast Chard; Deliver them to Professor B; Talk to Professor B back in NLA; Collect 1 Spirit Wand; 1 Shiny Lamp; and 1 Nopolith; Deliver them to Professor B	The skell doesn't respawn; so focus that down quickly to avoid heavy losses in the defense battle. Blast Chard is found in the Ibra Ravine area of Oblivia. The wand is found around 401; lamps in Noctilum caves; and nopolith in central Oblivia		
Professorial	Veven	Industrial District	12	Definian Downfall	54000	500	Fig: Honor Series;Fig: Rapture Series;Fig: Faith Series;Fig: Multi Series	Inspect Professor B's Car in the North Cinderdunes in Sylvalum; Head to the Secluded Lava Lake in Sylvalum; Obtain the Gray Keycard by defeating Marnuck Hunter; Talk to Professor B; Talk to Professor B and defeat Dolba the Wrecker; Gadd; and 3 BLADE Snipers within 10 minutes; Talk to Veven	This cave is awful and it should feel awful											
Water Woes	Ajoa	Residential District (Water Purification Plant)	5	-	12000	210	Fig: Meredith Medium (Female);Fig: Pilum Series	Defeat 5 Stagnant Grexes; Talk to Keith; choose "Clear the Site" for A; or "Secure Items" for B; A: Defeat 5 Stagnant Terebra; Talk to Keith; Talk to Ajoa; B: Gather 5 Dawnstones and 5 Ultra Filters; Deliver them to Keith; Talk to Ajoa;	The choice only affects the objectives; outcome is the same for both		
Lakeside Getaway	Rosie	Residential District (Water Purification Plant)	6	Water Woes;Frontier Spirit	13000	230	Fig: Grenada Swimwear (Male);Fig: Grenada Swimwear (Female);Upgraded Snorkel;Upgraded Swimsuit Pants	Head to Biahno Water-Purification Plant in Primordia; Move towards the door; then defeat 1 Raging Candor; Enter the plant; Head to the resevoir section of the plant and defeat 3 Raging Candors; Return to the entrance and defeat 1 Raging Candor; Talk to Ajoa; choose "Allow" for A or "Refuse" for B; A: Inspect the computer and choose Level 3; then fight 1 Ajoa Candor; B: Inspect the comptuer and choose Level 3; Talk to Ajoa; Talk to Rosie;	Allowing Ajoa to shower will result in her death.		
Good Neighbors	Tan'celeg	Industrial District (Outfitters Test Hangar)	7	Circle of Life;Lakeside Getaway	16000	270	Fig: Zorcyses Series;Fig: Autosentry	Collect 4 Ouroboros Crystals and 5 Eradicator Eyepieces; Deliver them to Tan'celeg; Talk to Tan'celeg and defeat 1 Autosentry	Ouroboros Crystals come from FrontierNav. An easy source of Eyepieces is Sea Whisper Valley; on top of the rock formation just inside.		
Haywire!	Rosie	Primordia	9	Good Neighbors	26000	360	Fig: Bugged-Out Bot;Prime Tank Top (Black Camo)	Talk to Tan'celeg; Head to Biahno Water-Purification Plant in Primordia; Defeat 6 Autosentries and press the emergency shutdown switch within the facility; Talk to Rosie	Rosie is waiting at the entrance to the Biahno Water-Purification Plant												
The Bodyguard	Zazazan	Cauldros	5	BFFs	11000	190	Chilling Facade	Purchase an Iron Sword; Warrior Assault Rifle; and Titanium Shield from the shop; Deliver them to Zazazan	Zazazan is southwest of 505		
Special Delivery	Zazazan	Cauldros	7	The Bodyguard	A:13000	150	Fig: Barreled Over	Head to Den of the Dead in Sylvalum and defeat Harvey; 2 BLADE Troopers and 1 Faded Nopopotamus; Talk to Zazazan; A: Deliver the cargo to Bodada; B: Deliver the cargo to Loma;	Zazazan is at Cauldros Gate. Bodada gives the money reward; but Loma prevents Nopondrugs.												
The Celeste Three	Fosdyke	Residential District (Deliverance Park)	5	Must have heard intel regarding Fosdyke from lower Admin District at night(by Doug)	-	210	Fosdyke's Key;Moorehouse's Key;Fig: Candela Series;Fig: Human-Made Skell	Talk to Fosdyke from 0:00~4:59 at the Diner; Talk to Moorehouse; Defeat 5 Sea Forfex; Talk to Moorehouse; Head to Molten Hollow in Primordia and fight Briggs; choose "Insist" or "Interrogate" for A or "Execute" for B; A: Inspect the vault door; fight Fosdyke; Moorehouse and Briggs; B: Inspect the vault door; fight Fosdyke and Moorehouse;	Moorehouse is on a staircase slightly below city level; southwest of North Founder's Street. Molten Hollow's entrance is west of 111. The Saltats within aggro during the day; and everything is lv30+; so be careful. If you choose to execute Briggs; Fosdyke and Moorehouse will be stronger		
Gold Rush	Adolphus	Industrial District	11	0:00~4:59 The Celeste Three;A Challenger Approaches;Watch the scene with Ga Bewhe by the door to the BLADE Barracks	-	450	Fig: Six Stars Light (Female);Fig: Six Stars Medium (Female);Fig: Six Stars Heavy (Female)	Talk to Wang in Sylvalum and clear Law and Orders; Talk to Adolphus and fight 1 Ga Bewhe	The money is a liiiiiie. Wang's mission can be found further down in this sheet.		
Law and Orders	Wang	-	-	Accept Gold Rush	20000	450	Fig: Candela III Series	Defeat 6 Marnuck Loaders; 2 Guardian Pugiliths; Talk to Law at the Samuel Incline in Sylvalum; Talk to Wang												
Prone Sweet Prone	Stella	Admin District  (BLADE Tower)	5	Oblivia>40%	15000	240	Fig: Gladiis Series	Head to Scabland Fort entrance in Oblivia; Approach the door within the base; A: Kill Enforcer Glennar for the key; B: Find the key on top of a nearby building; Enter the locked door; Talk to Stella;	Completing this quest as early as possible can be rather difficult. The entrance to the fort is heavily guarded by Zigs; but you can mountaingoat your way in from a ledge reachable from the Leaning Ring. There is enough space between the enemies to run through without being detected; and the landmark spawns you in the upper levels near the objective anyway. The key can be obtained from the top of a building or defeating an Enforcer Glennar within the lower levels of the base. The building is guarded by lv40 Marnucks; but the Glennar is surrounded by Zigs. You can; however; defeat the Glennar then let the Zigs kill you; and you'll still get the drop after respawning.		
Tree-mendous	Sevvy Belgazus	Ma-non Ship (Starboard)	5	Prone Sweet Prone	14000	240	Fig: Visions of War	Clear Kidnapped: Uzoma Vassago; Kidnapped: Oll Valdileo and Kidnapped: Rada Valdileo; Talk to Sevvy Belgazus	see below for sub-mission details		
Kidnapped: Uzoma Vassago	Sevvy Belgazus	-	-	Accept Tree-mendous	-	-	-	Head to Mesa Fort in Oblivia; Appropach Uzoma Vassago; and choose "throw?" while you have Kepha Holly for A; otherwise follow B; A: Defeat Vanguard Glennar; Talk to Uzoma Vassago; B: Defeat Vanguard Glennar; Gladiator Simius;	Kepha Holly is found in the South Coast region of Oblivia. If you don't have any(or choose not to throw it) when you approach Uzoma after being warned by Vanguard Glennar; Uzoma will be eaten.		
Kidnapped: Oll Valdileo	Sevvy Belgazus	-	-	Accept Tree-mendous	-	-	-	Inspect the door at Milligan Supply Base in Oblivia; Defeat Ajiba Falgo to obtain the key; Return and unlock the door	You may have to defeat some lone lv30 enemies to reach the buildings safely		
Kidnapped: Rada Valdileo	Sevvy Belgazus	-	-	Accept Tree-mendous	-	-	-	Inspect the door at Milligan Supply Base in Oblivia; Defeat Mujiba Falgo to obtain the key; Return and unlock the door	Take care; Mujiba Falgo is accompanied by a lv19 Meek Suid nearby a lv35ish Pugilith												
Cavern Crushers	Stella	Admin District	9	Prone Sweet Prone	28000	370	Fig: Grando II Series	Head to the Beast's Lair in Primordia and fight Slovity Pagus; then fight 1 Armored Sphinx; Talk to Stella			
Slovity's Rampage	Trigo Bamboth	Admin District	10	Cavern Crushers	A: 80000 B: 30000	400	Fig: foods	Head to Castaway Cavern and fight Slovity Pagus; Talk to Slovity Pagus; and choose "Convince Lebora" during the second prompt for An Ancient Legend's A route; "Disagree with Slovity" for An Ancient Legend's B route; Defeat MG062: Megisia without killing any of the Berserk Prone for A; do it while killing at least Berserk Prone for B; Talk to Slovity Pagus	Choosing "Convince Lebora" will maintain the rift between the Cavern and Tree clans later; while choosing "Disagree with Slovity" will bring them together. If you kill any of the Berserk Prone; your reward is greatly reduced. Fly in from above and take out Megisia quickly to avoid any casualties.		
Slovity's Revenge	Slovity Pagus	Ma-non Ship	11	Slovity's Rampage	39000	470	Supreme NVD;FILE-USP0680ME	Talk to Slovity Pagus; Defeat the Milsaadi Lieutenant at the Lotus Keep Building Site in Noctilum within 5 minutes; Talk to Slovity Pagus; Talk to Slovity Pagus; Defeat the Master Milsaadi at Jair Fortress in Oblivia within 3 minutes; Talk to Slovity Pagus; Talk to Slovity Pagus; Head to Wildcat Fortress in Cauldros and fight MG068: Megisia within 5 minutes	Unless you want to fight all of the enemies near the building the Master Milsaadi is in; you're best off landing your skell on the mountains south of them and sneaking over to them on foot.		
An Ancient Legend	Nimu Turton	Ma-non Ship	12	Slovity's Revenge	54000	520	Fig: Visions of Peace	A: Talk to Oche Wolfen to start the battle; Survive for 2 minutes against waves of Dread Blatta; then 2 minutes against waves of Dread Petramand; and finally 2 minutes against waves of Dread Cinicula;  B: Talk to Slovity Pagus to start the battle; Survive for 2 minutes against waves of Bruiser Blatta; then 2 minutes against waves of Bruiser Petramand; and finally 2 minutes against waves of Dread Cinicula;  Talk to Nimu Turton	The path this mission takes depends on your choice in Slovity's Rampage. In the A route; Oche dies offscreen. In the B route; the Tree and Cavern clans learn to work together and accept each other a bit.	 The enemies respawn every ~60 seconds. If you're having any trouble; just use a Skell. Should you die at any point; speaking to your route's NPC will start you at the last wave you got to[?]. I wasn't really paying attention to the enemy stats and stuff; so I don't know if they're stronger or weaker in either route. Pretty sure there were fewer spawning at one time in the B route though.											
A Grim Undertaking	Hala Gorida	Ma-non Ship (Port Side)	6	Prone Sweet Prone	15000	250	Fig: Just Married	Investigate Quegga's corpse at Barbarich Desert in Oblivia; Collect 3 Bone-In Thigh Meat; Inspect Quegga's corpse; Clear Quegga's Gift; Talk to Hala Gorida	A Predator Falsaxum will assault you after setting the Thigh Meat down; but you don't have to kill it. Details on sub-mission are below.		
Quegga's Gift	Helen Gorid	-	-	Part of A Grim Undertaking	-	100	-	Obtain Dancer's Clothes at Scabland Fort	The cave the clothes are in is guarded by lv40+ enemies; but you can sneak past them easily		
Training Day	Zarch Quokett	Ma-non Ship	7	Prone Sweet Prone	16000	270	Fig: Piggyback Ride	Defeat Odsent; Talk to Zarch Quokett; Obtain 5 White Iron Sand; 3 Noranlilies; Deliver them to Zarch Qoukett; Head to Rock Cavern in Primordia and defeat Odsent; then Choose "Verify" for A; "Scoff" for B; A: Talk to Zarch Quokett B: Defeat Odsent; Talk to Zarch Quokett	White Iron Sand is found E/W/N of Janpath Lake in Promordia; Noranlilies are found at Arendt Bridge in the northern section of the continent.		
Forbidden Love	Loda Gorida	Ma-non Ship	8	Prone Sweet Prone	19000	280	Fig: Radius II Series	Talk to Leroy; Obtain 3 Sapphire Horns and 1 Ring Stone; Deliver them to Leroy; Talk to Lavina Couba and choose to allow the marriage for A; or intervene for B; A: Defeat Loda Gorida and 2 Prone Fighters; B: Head to Headwater Cavern and defeat Leroy's Ire; Talk to Loda Gorida	The Horns drop from Xiphias in Primordia and Noctilum; Northpointe Cove is full of them. Both Loda Gorida and Leroy's Ire have entries in the monster index; but you can only fight one of them. Route A ends with the two getting married. In route B; Lavina returns with Loda; but Loda gives Leroy a chance to become stronger to prove his worth.		
The Art of War	Sajif Scoppio	Ma-non Ship	8	Prone Sweet Prone	20000	290	Fig: Barrel Tosser;Redesigned Glasses	A: Defeat ONLY Bastion Glennar at Lotus Keep Building Site in Noctilum; B: Defeat other enemies in addition to Bastion Glennar at Lotus Keep Building Site in Noctilum; Talk to Sajif Scoppio	Defeating any other enemies will result in Vio whatever claiming victory over Sajif's plan. The only difference is dialogue/NPC affinity.		
Here Come the Brides	Nemard Wolfen	Ma-non Ship	9	Prone Sweet Prone	26000	350	Formal Suit	Choose "Heptana Logur" for A; "Enneana Spicar" for B; A: Talk to Heptana and defeat 1 Imp Lophid; Talk to Heptana; B: Talk to Enneana; Obtain 3 Lightweight Pelt; Deliver them to Enneana; Talk to Duna Valdileo; Gather 4 Tough Humpsteaks; Deliver them to Duna; Talk to Galba Vasago and defeat him; Talk to Nemard Wolfen	You choice decides who Nemard marries; and changes some minor objectives in the middle of the mission. Lightweight Pelt drops from Mephites; an easy source is Gerhardt; the Lone and Proud in the Whale's Nostril in Noctilum. Tough Humpsteaks drop from the armored Suid(break horn) in Primordia and Oblivia. Easy targets are the ones in Seaswept Fort; near 119.		
A New Life	Bazis Wolfen	Ma-non Ship	11	Here Come the Brides;Oblivia>70%;Watch the scene with him in the upper levels of the Ma-non Ship Port Side	39000	450	Fig: Divine Custom;Upgraded Swimsuit Top II;Upgraded Swimmer's Band R II;Upgraded Swimmer's Band L II	Talk to Galba Vassago; Defeat 3 Dune Adsecula; then 1 Garuda Jacul; Talk to Galba Vassago; Talk to Bazis Wolfen			
The Ultimate Price	Quincy	Admin District	10	Cavern Crushers	A: 11000 B: 26000	A: 420 B: 380	Fig: Marnuck vs. Prone	Defeat 1 Linker Scirpo; then Gus and 3 BLADE Snipers; Talk to Quincy; Head to Devil's Colony in Oblivia and choose "Aid" for A; "Abandon" for B; A: Defeat 1 Unruly Petramand; Talk to Quincy; B: Obtain Crimson Tear; Talk to Quincy;	Gus dies if you choose Abandon.												
Frontier Spirit	Corwin	Admin District	6	-	14000	240	Fig: Sclopetum Series;Fig: Grando Series	Head to the Ensanguined Font in Noctilum; Talk to Corwin and choose "Assist" for A or "Encourage" to end the quest; A: Talk to Bates; Defeat 5 Cross Qmoeva; Talk to Bates; Talk to Corwin;	Both entrances to the Ensanguined Font are guarded by lv40+ Forfexes; but they won't aggro as long as you don't get too close. Nothing changes if you choose to do the extra objectives[?]		
Unknown Assailant	Raleigh	Admin District	10	Frontier Spirit	30000	400	Fig: Parma II Series;Fig: Lastyr III Series	Head to Lake Basel in Oblivia and defeat 3 Metal Puge; Talk to Peter and choose "South" for A; "West" for B; Talk to Bates; Talk to Corwin; Talk to Corwin again outside the cave; A: Defeat 1 Galdr Raven; B: Defeat 1 Galdr Raven and 3 Metal Puges; Talk to Corwin once more; Talk to Raleigh	Take care not to upset the Sylooth nearby when the first encounter starts. Your choice when speaking to Peter decides whether Bates dies or not; and the number of enemies you fight after saving Corwin. If you tell him to go south; he'll live. West kills the Bates.	The Oc-servs guarding Banshee Cave won't aggro if you're not in a skell. You can wait for the Ictus to turn around and move out of the way before heading down the tunnel to Corwin; then jump past the Blatta when they clear enough of a path to Corwin to reach him safely.											
The Miracle Maker	Staccata	Residential District (Cathedral)	6	Water Woes	15000	250	Fig: Strobe Series;Fig: Saboteurs Series	Collect 2 Assassin Springtails; Deliver them to Staccata; Head to Biahno Water-Purification Plant in Primordia; Approach Malyteth; Obtain Malyteth's Bottle; Talk to Staccata			
Rites of Ruin	Jalimbo	Residential District	8	The Miracle Maker	22000	310	Fig: C&C Medium (Male);Fig: Bolide Series	Head to the Bandit's Refuge in Cauldros; Head further into the Bandit's Refuge and fight 1 Clotho Puge; Lachesis Puge; Atropos Puge; then fight TW772: Trinn; Head back to the Bandit's Refuge entrance and defeat 1 Twin Qmoeva; Talk to Stacatta; Talk to Jalimbo	The entrance to Bandit's Refuge is southeast of 504; in a weird cave behind the Quos and building.												
The Skell License	Vandham	BLADE Barracks	6	-	100000	240	Skell License	Complete the eight Proficiency Exams for their certificates; Talk to Walter; Enter the Hangar	See below for sub-mission details		
Proficiency Exam 1	Vandham	-	-	Accept The Skell License	-	20	Skell License Certificate	Install a Data Probe at FN Site 117			
Proficiency Exam 2	Vandham	-	-	Accept The Skell License	-	20	Skell License Certificate	Defeat 12 Blitz Blatta			
Proficiency Exam 3	Vandham	-	-	Accept The Skell License	-	20	Skell License Certificate	Defeat Shatskikh; the Flasher	Keep fast travelling until it appears		
Proficiency Exam 4	Vandham	-	-	Accept The Skell License	-	20	Skell License Certificate	Obtain Solar Starship Map from Noctilum			
Proficiency Exam 5	Vandham	-	-	Accept The Skell License	-	20	Skell License Certificate	Obtain 8 Rock Armadillos; 3 Beagflea Squashes; 6 Multi-Speckled Ladybugs	Rock Armadillos are found in Noctilum Caves; Beagflea Squashes are found in the Lake Basel region of Oblivia; and the Ladybugs are found in Primordia caves and Sayram Lake region.		
Proficiency Exam 6	Vandham	-	-	Accept The Skell License	-	20	Skell License Certificate	Receive 15000 credits in one FrontierNav salary payment	Stick Research probes on tourist spots		
Proficiency Exam 7	Vandham	-	-	Accept The Skell License	-	20	Skell License Certificate	Obtain exam weapons from Tauler; Defeat a Massive Lupus using either Trial Knife; Trial Assault Rifle; or Trial Sword			
Proficiency Exam 8	Vandham	-	-	Accept The Skell License	-	20	Skell License Certificate	Clear either The Handy Ma-non; The Pip-Squeak; or That's In-Credible!	See above for quest details												
Rescue at the Ensconced Citadel	Julius	Admin District (BLADE Tower)	6	Noctilum>30%	15000	240	Fig: Ruina II Series;Orphean Technologies opens	Head to Suncatch Ravine in Noctilum and defeat 2 Marnuck Quartermasters; then defeat 4 Marnuck Troopers; Talk to Julius			
Sun'celeg Rises	Sun'barac	Ma-non Ship (Deck)	6	Rescue at the Ensconced Citadel	16000	270	Fig: Orphean Light (Male)	Gather Intel near the BLADE Tower; Gather Intel near the East Gate; Talk to Sunboiton; Head to Stoyanov Trail in Oblivia and fight JS178: Jushe	The rangs for the Intel are rather small; so they shouldn't be difficult to locate		
The Journey Begins	Kun'luarb	Residential District	7	Sun'celeg Rises	23000	340	Fig: Jith Series;Fig: Orphean Medium (Male)	Obtain 3 Logunie's Driftwood and 4 Sadelana Lettuce; Deliver them to Kun'luarb	Driftwood is found in the Arendt Bridge area of Primordia; Lettuce are south of Janpath Lake		
Circle of Life	Kon'luarb	Residential District	7	The Journey Begins;Water Woes	24000	350	Fig: Noble Sacrifice;Fig: Orphean Heavy (Male)	Find Kun'luarb and continue to refuse to take the water for A; accept it from him for B; A: Obtain Senirapa Water; Talk to Kon'luarb B: Talk to Kon'luarb	If you choose to use the water on Kun'luarb; Sin'luarb and Sen'luarb are born. If you take it from him; he will die. Senirapa Water can be found at the entrance to Headwater Cavern in Biahno Lake in Primordia; or in Beast's Paradise in Cauldros.											
Going Viral	Julius	Commercial District	7	Circle of Life	14000	250	Fig: Ziyse Series	Defeat 1 Bio Visigel; Talk to Julius; Defeat 2 Bio Visigel; Talk to Julius; Defeat 4 Bio Visigel; Talk to Julius; Defeat 6 Bio Visigel; Talk to Julius			
Ovah and Out	Han'barac	Admin District	7	Going Viral	17000	280	Fig: Watxes Series	Defeat 10 Bio Narky using Savage Ziyse; Return the weapon to Han'barac	Don't forget to unequip the weapon before returning												
House Call	Nan'celeg	Ma-non Ship	10	Circle of Life	27000	390	Fig: Iyst Series	Collect the Lumenoa Leaf from the Far Isle of Tzu'o in Cauldros; Talk to Nan'celeg; Head to the Upper Hushflood in Noctilum and defeat 1 Brazen Falsaxum; Talk to Nan'celeg			
No-show Nen'celeg	Nan'celeg	Ma-non Ship	10	House Call	28000	400	Fig: Orphean Light (Female);Fig: Orphean Medium (Female);Fig: Orphean Heavy (Female)	Head to the Sunlit Spring in Noctilum; Head to Qing Long Glade in Noctilum and defeat 1 Dryland Auravis; Talk to Nan'celeg												
Orphean Pluck	San'luarb	Industrial District	10	No-show Nen'celeg;Planetary Pioneer (Part IV)	26000	380	Booster Probe G1	Talk to Non'barac; Talk to San'luarb; Give San'luarb 4;200g of Miranium			
Wrothian Innovation	Go Shiro	Commercial District	10	A Challenger Approaches;Orphean Pluck	39000	450	Booster Probe G1;Fig: Six Star Heavy (Male)	Give Go Sirho 10;000g of Miranium; Talk to Go Sirho; Talk to Kirsty; Collect 10 Arc Sand Ore; Deliver them to Kirsty; Deliver the Practice Data Probe to Go Sirho			
New Frontier	Kirsty	Residential District	12	Entrepreneurial Spirit;Wrothian Innovation;Planetary Pioneer (Part V)	50000	500	Booster Probe G2;Supreme Diving Mask;Supreme Diving Bottoms;Fig: Spatha Series	Give Kirstie 20000g of Miranium; and 50 Arc Sand Ore; Talk to Tobias; Purches Data Unit FN098 from Tobias for 100000G; Talk to Kirstie													
Lone Survivors	Robert	Industrial District	8	Circle of Life	20000	300	Fig: Iyst II Series	Talk to Kan'tonam at Coil Tree Cape in Noctilum and fight 1 Array Insidia; Talk to Kan'tonam; Talk to Robert			
Herbivores, Unite!	Naza Tenpanzi	Residential District	9	Circle of Life;Prone Sweet Prone;Noctilum>45%	24000	360	Prime Tank Top (Green Camo)	Talk to Mon'barac; Collect the Gnarlbranch Sap from the Divine Roost in Noctilum; Talk to Naza Tenpanzi; Collect 4 Zesian Fleawort and 1 Longevity Bough; A: Talk to Yun'tonam and choose "Warn"; Deliver items to Monboiton;  B: Deliver items to Monboiton;	Zesian Fleawort is found in northwestern Primordia. Longevity Boughs drop from Cervus(break the back?); easy locations are Asana; the Azure Star in West Lake Ciel; or Shaman Cervus on the Delusian Mtn(both in Sylvalum).	If you fail to Warn Yun'tonam; he'll eat the second tree you plant and Naza will deck him. If you do Warn him; the tree will surivive.	
The Bug Whisperer	Min'barac	Residential District	10	BFFs;Circle of Life;Prone Sweet Prone	28000	400	Fig: The Indigen Whisperer	Talk to Min'barac and fight 1 Grand Lophid; Talk to Min'barac; Collect 1 Amidresian Tomato; 3 Jagged Mortars and 2 Meditation Powders; Deliver them to Min'barac; Talk to Min'barac and fight 1 Grand Lophid			
Choice of the Olfe	On'otonam	Residential District	12	The Nopon Heir;No-show Nen'celeg;Noctilum>85%	54000	520	Fig: Synchronize	Talk to Mun'eibu; Man'osorag and Rin'eibu; Head to godbirdroost in Noctilum; Talk to On'otonam for A; defeat the Telethia for B; A: Quest ends; B: Talk to On'otonam;												
Alien Nation	Alex	Commercial District	7	-	B:17000	270	Fig: Haven Series;Fig: Dual Guns II Series	Talk to Arwae; Zeedoy and Wikaye and choose "Invite"; Talk to Alex; Head to Headwater Cliff; choose "Stop Alex" at any point for A; or "Observe" all three times for B; A: Fight Lineage and 3 BLADE Troopers; B: Mission ends;	If you don't choose to stop Alex; only Wikaye will survive. Is 17000 credits worth all that blood on your hands?		
Shotgun Diplomacy	Eliza	Residential District	8	Alien Nation	24000	300	Fig: Haven II Series;Fig: Radius Series	Head to Balance Rock in Oblivia; then defeat 1 Lineage; 1 BLADE Trooper and 1 BLADE Sniper; Talk to Eliza	The fourth choice you make(Persist/Fight) will change affinity between Alex and Eliza.		
The Line of Fire	Alice	Residential District	9	Shotgun Diplomacy	24000	350	Fig: Knife III Series;Fig: Pugio Series	Gather three pieces of Intel in the Administrative District; Head to Hilal Plains in Sylvalum and fight Lightning Strike; Talk to Alice	A lv40 Subdued Arenatect will join the fight; so watch out.		
Alex's Last Stand	Eliza	Residential District	10	The Line of Fire	32000	420	Fig: Ruina III Series;Fig: Candela II Series	Buy info on Alex from Cheche for 10000G; Head to Kw'arah Cloister in Cauldros and fight Lineage; 2 Impulse Qmoeva; and DV482: Duvel; Talk to Eliza	The Strontium Xe-dom that normally patrols the FN Site at the Cloister will not spawn while the enemies for this mission are active; so you don't have to worry about it butting in. The Oc-servs and Fal-swos will still be there; but you can avoid aggroing them if you stay in the corner with the yellow circle.												
Attack on Biahno Hills	Lara Nara	Admin District	7	Have spoken to Suriella	16000	270	Fig: The Superior Form	Talk to Yusof; Talk to Lara Nara; Head to the Commercial District; Head to Industrial District; Head west of NLA and fight DE913: Dieara	Suriella's outside the BLADE Barracks; going towards the east gate		
Good Fortun	HT665: Erio	Industrial District	10	Attack on Biahno Hills;Rites of Ruin;Alex's Last Stand	32000	420	-	Head to the Anvil Sandplain in Sylvalum and fight SG002: Slenna; 3 Definian Guards; and a Cliff Galdr; Talk to Fortune; Talk to HT665: Erio	The Galdr likes to use that aoe lightning attack that skells tend to have; so take care when fighting		
Definian Downfall	HT665: Erio	Commercial District	11	Professor B's Return;Good Fortun	43000	480	Fig: Mother;FILE-USP1480SA	Talk to Fortune; choose "Suggest Killing" for A; or "Suggest Mercy" for B; A: Head to Ganglion Antropolis in Cauldros and fight ER001: Emeroa; HP001: Harriess; JD001: Juda; Head back to the previous area of the Ganglion Antropolis to fight Rexoskell; Head to Emerian Battlegrounds in Cauldros and fight Rexoskell again; Talk to HT665: Erio; B: Talk to Doctor B; Collect 1 Resonating Madonate; 1 Octopus Board; Deliver them to Doctor B; Follow A's objectives;	There are three(really two; but one has gender-dependent objectives) possible quests this could lead to; B gives slightly more rewards; all of them give the same figure and count for The Gauntlet. If you choose A; Fortun is killed; the following quest involves steam Definian romance. If you choose B; Professor B will rewrite Fortun's personality to a goofier one; and she'll live through the rest of the game; the following quest is some goofy stuff with an easy fight.	If you get lost somehow; the Ganglion Antropolis is N/NE of FN505; at the base of the cliff wall at lava-level. The Second Barrier Key is located on a ledge directly west of the main entrance. The Third Barrier Key is in the east section; near Sharnaak's Seidr. The First Barrier Key drops from the lv55 Milsaadi Guard standing at the entrance to the Sharnaak's Seidr area. Once you've got the barrier keys; you have to go through a series of narrow passages starting in the north. You can sneak around all of the enemies by jumping around the outer edges of the rooms; and staying low in the larger room. 	The initial fight with the sisters shouldn't be difficult; but the ground Rexoskell fight is rather obnoxious. It uses a lot of gravity[or was it ether?](one steals your TP) and electric(one of which topples) attacks; as well as a multihit beam attack. Beam res should be your focus; but try not to go negative in the others. A balance of Orphean/Ma-non armor is a good idea for that; consider topple res if it's a problem. Destroying the pod thing on its right side will stop the beam barrage; while the shoulder-mounted cannon on its upper-right will stop one of its multihit gravity attacks. When it gets low on health(20%ish?) it might use a decoy aura(keep attacking until you can hit it again); while gaining another beam attack. It may also taunt you after the decoy is down; or 'guard' and inflict spike counterdamage when it's hit. You'll want a full part of at least ~lv50. The second fight should be fine if you've made it that far; and you can always use your skells. It uses mostly the same attacks; and summons Quos and Shrads during the fight.
Definian Love (♀ ver.)	Lyvia	Residential District	12	Definian Downfall - A Route;Character is Female upon finishing Definian Downfall[?]	48000	450	Fig: Pride Series	Talk to one of either Gina; Lucy or Sara-Ariel; and introduce them to Livia; Talk to Livia; Collect 1 Penginion; 1 Nirvana Jonquil; 1 Hummingstone; Deliver them to Livia	Gina is to-the-point and likes to party; she freaks out and bails when she sees the real Lyvia. Lucy likes crossword puzzles and being boring; she doesn't bat an eye at Lyvia's true form; but ditches anyway because she's not into chicks. Sara-Ariel is motivated and good at punching things; she's cool with Lyvia's true form. All of them get rejected.	Penginions can be found on the Delusian Mountains or caves in Sylvalum; Nirvana Jonquil in the northern coasts and mid/SE areas of Primordia; and Hummingstones are found in SW/NE Primordia. You get the items back; so...	I'm not sure at what point they determine which version of this mission you get; it might even be as early as your first encounters with Erio...
Definian Love (♂ ver.)	Lyvia	Residential District	12	Definian Downfall - A Route;Character is Male upon finishing Definian Downfall[?]	48000	450	Fig: Pride Series	Talk to one of either Maxim; Kent D. Carr or Jott; and introduce them to Lyvia; Talk to Lyvia; Collect 1 snowy angelhair; 1 muranadium; 1 Primitive Colossus Statue; Deliver them to Lyvia		Primitive Colossus Statue	
Fortun and Glory	Erio	Residential District	12	Definian Downfall - B Route	50000	500	Fig: Pride Series	Gather Intel in the Administrative District; Talk to Avi; Talk to Fritz; Head to Rooney Cavern in Oblivia and fight LV757: Lyvia	The Intel is near the entrance to the BLADE Barracks. Lyvia lives and Fortun ends up stranded on top of the BLADE Tower regardless of choices[probably?].											
