Name	Genus	Type	Continent	Location	Lv	Exp	HP	M.Pow	M.Acc	R.Pow	R.Acc	Pot.	Eva	Res		Drops~								Wep	Armor	SkellWep	SkellArmr	Tyrant
				n=night, hi/lo=high/low, air=flying around, wait=doesn't appear immediately										Phys/Beam/Eth/Heat/Elec/Grav										Gear Drops (click link for more details)			
Brave King Qmoeva	Qmoeva	Mechanoid	Primordia	110N(high)	51~60	622~801	65438~111685	987~1230	244~280	987~1230	239~275	987~1230	157~194	30/-25/10/10/-25/-50		Bloodied Face	Qmoevan Capacitor	Genuine Frame	Dual Boards	Quality Crank	---	---		---	---	19, *	SA - L, GG - L
Rebel Queen Qmoeva	Qmoeva	Mechanoid	Primordia	101S,110N(high),bigroof(top)	41~50	437~604	77383~93634	741~960	208~240	741~960	203~235	741~960	120~153	30/-25/10/10/-25/-50		Bloodied Face	Qmoevan Capacitor	Genuine Frame	Dual Boards	Quality Crank	---	---		---	---	20, *	SA - L, GG - L
Suppressor Hermit Qmoeva	Qmoeva	Mechanoid	Primordia	102(post)	51~60	622~801	95438~111685	987~1230	244~280	987~1230	239~275	987~1230	157~194	30/-25/10/10/-25/-50		Bloodied Face	Qmoevan Capacitor	Genuine Frame	Dual Boards	Quality Crank	---	---		---	---	20, *	SA - L, GG - L
Naguth Caladar	Caladar	Mechanoid	Primordia	The Queen is Dead	41	497	67313	518	208	518	203	543	118	35/-10/35/35/-10/-10		---	---	---	---	---	---	---					
Girhi Caladar	Caladar	Mechanoid	Primordia	The Queen is Dead	41	497	67313	518	208	518	203	543	118	35/-10/35/35/-10/-10		---	---	---	---	---	---	---					
Zeulbe Caladar	Caladar	Mechanoid	Primordia	The Queen is Dead	42	518	68885	535	211	535	206	561	121	35/-10/35/35/-10/-10		---	---	---	---	---	---	---					
Ladha Caladar	Caladar	Mechanoid	Primordia	Lend an Ear - B Route	38	434	56237	470	199	470	194	492	109	35/-10/35/35/-10/-10		---	---	---	---	---	---	---					
Lord Xe-dom	Xe-dom	Mechanoid	Primordia	108(floatingisle)	51~70	2182~3672	730272~992737	2368~3592	219~261	2368~3592	239~285	2368~3592	123~160	30/-25/10/10/-25/-50		Xe-dom Jet-Black Crest	Advanced Core	Xe-dom Hand	Ancient Armor	Octopus Board	Quality Core	---		---	---	15	ME - H
Ji-ett, the Thunderclap	Fal-swo	Mechanoid	Primordia	[19:00~5:00]: 119NE - Flying above the mountain	72	3204	1471252	2386	275	2170	286	2170	233	35/-20/15/15/-20/-45		Fal-swo Solar Crest	Golden Stabilizer	Genuine Plate	Advanced Jet	Reinforced Jet	---	---		---	---	8	SA - H, ME - H	Y
Chromium Fal-swo	Fal-swo	Mechanoid	Primordia	[19:00~5:00]: 111S/SW(high)	51~60	1212~1560	467985~547651	1479~1843	219~252	1347~1679	227~261	1315~1639	169~209	30/-25/10/10/-25/-50		Fal-swo Solar Crest	White Stabilizer	Genuine Plate	Advanced Jet	Reinforced Jet	---	---		---	---	8	SA - H, ME - H
Tantalum Fal-swo	Fal-swo	Mechanoid	Primordia	101S	41~50	398~549	79053~95654	833~1079	187~216	759~983	192~223	741~960	129~165	30/-25/10/10/-25/-50		Fal-swo Solar Crest	Black Stabilizer	Genuine Plate	Advanced Jet	Reinforced Jet	---	---		---	---	8	SA - H, ME - H
Briggs	Human-Made Skell	Mechanoid	Primordia	The Celeste Three	27	224	43378	450	159	450	154	450	69	30/-25/10/10/-25/-50		---	---	---	---	---	---	---					
Fosdyke	Human-Made Skell	Mechanoid	Primordia	The Celeste Three	23~24	179~190	32409~34116	378~396	149~151	378~396	144~146	378~396	59~61	30/-25/10/10/-25/-50		---	---	---	---	---	---	---					
Moorehouse	Human-Made Skell	Mechanoid	Primordia	The Celeste Three	25~26	202~213	35859~41391	414~432	153~156	414~432	148~151	414~432	63~66	30/-25/10/10/-25/-50		---	---	---	---	---	---	---					
Leroy's Ire	Human-Made Skell	Mechanoid	Primordia	Forbidden Love - B Route	38	347	67485	672	199	672	194	672	109	30/-25/10/10/-25/-50		---	---	---	---	---	---	---					
Gold Courage	Human-Made Skell	Mechanoid	Primordia	A Dubious Operation	32	280	53815	546	181	546	176	546	91	30/-25/10/10/-25/-50		---	---	---	---	---	---	---					
Fiendish Virago	Virago	Theroid	Noctilum	[5:00~19:00]: 210N,212	41~50	937~1294	387727~469152	1284~1664	208~240	963~1248	203~235	988~1280	118~150	0/0/-25/-50/0/0		Virago Blood Sweat	Virago Alloy Plate	Ingrown Virago Claw	Warrior Race's Seal	Rough Skin	---	---		---	GG - Sk	13	---
Buchwald, the Guardian	Virago	Theroid	Noctilum	224 - Inside Rockmole Burrow	77	5877	2674061	4602	311	3450	306	3540	217	5/5/-20/-45/5/5		Virago Blood Sweat	Virago Alloy Plate	Ingrown Virago Claw	Warrior Race's Seal	Rough Skin	---	---		---	GG - Sk	13	---	Y
Hallowed Progen	Progen	Theroid	Noctilum	211W(hi),222	21~30	149~245	29082~49539	333~491	145~175	324~478	143~174	342~504	59~91	0/0/-25/-50/0/0		Progen Hoof Seal	Ornate Progen Horn	Golden Progen Wing	Large Hoof	Small Scale	---	---		〇	---	---	---
Lightning Progen	Progen	Theroid	Noctilum	211SW(hi)	31~40	255~362	51661~72319	511~698	178~205	498~681	177~205	525~717	94~123	0/0/-25/-50/0/0		Progen Hoof Seal	Ornate Progen Horn	Golden Progen Wing	Large Hoof	Small Scale	---	---		〇	---	---	---
Sacred Progen	Progen	Theroid	Noctilum	216SE	41~50	378~521	80776~97740	722~935	208~240	703~912	208~240	741~960	126~161	0/0/-25/-50/0/0		Progen Hoof Seal	Ornate Progen Horn	Golden Progen Wing	Large Hoof	Small Scale	---	---		〇	---	---	---
Sanctuary Progen	Progen	Theroid	Noctilum	211S(hi)	51~60	537~692	99622~116581	961~1198	244~280	937~1168	244~281	987~1230	165~204	0/0/-25/-50/0/0		Progen Hoof Seal	Ornate Progen Horn	Golden Progen Wing	Large Hoof	Small Scale	---	---		〇	---	---	---
Raging Simius	Simius	Theroid	Noctilum	217,222E	11~20	88~153	13441~28603	201~353	121~139	179~315	117~134	175~307	35~53	0/0/-25/-50/0/0		Simius Snack Stash	Supple Tail	Green Simius Mane	Muscled Simius Bulge	Hard Backbone	Stiff Hair	---		〇	ME - H	---	---
Anger Simius	Simius	Theroid	Noctilum	205,220N,225,Whale's Gullet	21~30	165~270	30284~51586	393~579	141~170	350~516	136~165	342~504	55~85	0/0/-25/-50/0/0		Simius Snack Stash	Supple Tail	Green Simius Mane	Muscled Simius Bulge	Hard Backbone	Stiff Hair	---		〇	ME - H	---	---
Wrath Simius	Simius	Theroid	Noctilum	202,225	41~50	417~576	84115~101779	852~1104	202~234	759~983	197~229	741~960	118~150	0/0/-25/-50/0/0		Simius Snack Stash	Supple Tail	Green Simius Mane	Muscled Simius Bulge	Hard Backbone	Stiff Hair	---		〇	ME - H	---	---
Punishing Simius	Simius	Theroid	Noctilum	220N	51~60	1273~1638	497952~582720	1512~1884	237~273	1347~1679	233~268	1315~1639	154~190	0/0/-25/-50/0/0		Simius Snack Stash	Supple Tail	Green Simius Mane	Muscled Simius Bulge	Hard Backbone	Stiff Hair	---		〇	ME - H	---	---
Demetrio, the Tempestuous	Simius	Theroid	Noctilum	Ensconced Citadel	28	370	106351	565	165	503	160	491	75	5/5/-20/-45/5/5		Simius Snack Stash	Supple Tail	Green Simius Mane	Muscled Simius Bulge	Hard Backbone	Stiff Hair	---		〇	ME - H	---	---	Y
Striker Simius	Simius	Theroid	Noctilum	202,205,216SW,Whale's Gullet	31~40	282~400	53796~75308	603~824	173~199	537~734	168~195	525~717	88~115	0/0/-25/-50/0/0		Simius Snack Stash	Supple Tail	Green Simius Mane	Muscled Simius Bulge	Hard Backbone	Stiff Hair	---		〇	ME - H	---	---
Oskar, the Summer Squall	Aprica	Theroid	Noctilum	[5:00~19:00]: 222	11	270	112811	283	125	283	139	304	36	10/10/-15/-40/10/10		Fine Aprica Wood	Aprica Back Moss	Evergreen Aprica Antlers	Slender Horn	Rough Skin	---	---		---	GG - M	---	---	Y
Forest Aprica	Aprica	Theroid	Noctilum	[5:00~19:00]: 209NE,211,212,221,222,225	21~30	336~552	133777~227879	524~772	137~166	524~772	154~187	456~672	38~59	0/0/-25/-50/0/0		Fine Aprica Wood	Aprica Back Moss	Evergreen Aprica Antlers	Slender Horn	Rough Skin	---	---		---	GG - M	---	---
Nopopon Incarnate	Cervus	Theroid	Noctilum	The Divine Nopopon	68	1944	579295	1875	288	1972	283	1924	207	0/0/-25/-50/0/0		---	---	---	---	---	---	---		---	---	---	---
Pastoral Cervus	Cervus	Theroid	Noctilum	[5:00~19:00]: 201,225(high)	51~60	1212~1560	438339~512958	1283~1599	244~280	1348~1681	239~275	1316~1640	161~199	0/0/-25/-50/0/0		Lucky Cervus Sapling	Longevity Bough	Amber Cervus Antlers	Large Hoof	Supple Leather	---	---		---	GG - L	---	---
Seti, the Light of Stars	Cervus	Theroid	Noctilum	[19:00~5:00]: Whale's Weeper	50	823	201266	982	252	1032	246	1008	165	5/5/-20/-45/5/5		Lucky Cervus Sapling	Longevity Bough	Amber Cervus Antlers	Large Hoof	Supple Leather	---	---		---	GG - L	---	---	Y
Bar Suid	Suid	Theroid	Noctilum	209	1~10	15~42	1509~8606	34~118	102~119	30~106	95~112	34~118	14~32	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - Sk	---	---
Forest Suid	Suid	Theroid	Noctilum	221	11~20	45~78	9465~20143	128~225	121~139	115~202	114~131	128~225	34~51	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - Sk	---	---
Ambush Suid	Suid	Theroid	Noctilum	202	31~40	144~204	37885~53034	385~525	173~199	346~473	164~190	385~525	85~112	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - Sk	---	---
Olegario, the Iron-Helmed	Suid	Theroid	Noctilum	[19:00~5:00]: Whale's Weeper	50	439	161271	739	245	664	234	739	153	5/5/-20/-45/5/5		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - Sk	---	---	Y
Forest Femina Suid	Suid	Theroid	Noctilum	219,221,222	11~20	45~78	9293~19776	125~219	118~135	118~208	117~134	128~225	35~54	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - H	---	---
Manuelita, the Affectionate	Suid	Theroid	Noctilum	203NE	47	559	186468	903	227	857	228	928	148	5/5/-20/-45/5/5		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - H	---	---	Y
Miniature Suid	Suid	Theroid	Noctilum	221	11~20	27~47	8045~17121	128~225	121~139	115~202	114~131	128~225	34~51	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - Sk	---	---
Miniature Femina Suid	Suid	Theroid	Noctilum	219	11~20	45~78	9293~19776	125~219	118~135	118~208	117~134	128~225	35~54	0/0/-25/-50/0/0		Marbled Suid Fillet	Suid Fillet	Appetizing Suid Tail	Muscled Suid Bulge	Succulent Meat	Fleecy Fur	---		〇	GG - H	---	---
Heidi, the Lively	Ovis	Theroid	Noctilum	202 - Accompanies Pyotr, the Shepherd	60	348	69327	820	273	738	268	820	190	0/0/-25/-50/0/0		Tricolored Ovis Meat	Lovely Pom Pom	Ovis Polishing Stone	Juicy Wild Meat	Fleecy Fur	---	---		〇	ME - L	---	---	Y
Claire, the Sheltered	Ovis	Theroid	Noctilum	202 - Accompanies Pyotr, the Shepherd	60	348	69327	820	273	738	268	820	190	0/0/-25/-50/0/0		Tricolored Ovis Meat	Lovely Pom Pom	Ovis Polishing Stone	Juicy Wild Meat	Fleecy Fur	---	---		〇	ME - L	---	---	Y
Stray Ovis	Ovis	Theroid	Noctilum	Summoned by Lugalbanda, the Wanderer-King	41~50	128~176	56543~68418	543~704	202~234	489~633	197~229	543~704	118~150	0/0/-25/-50/0/0		---	---	---	---	---	---	---		〇	ME - L	---	---
Fernando, the Immobile	Millesaur	Theroid	Noctilum	[5:00~19:00]: 216	85	7992	4296994	5991	363	5591	348	3994	73	5/5/-20/-45/5/5		Millesaur Larynx	Millesaur Dung	Thick Millesaur Hide	Obsidian Cluster	Tough Tendon	Obsidian Fragment	Rugged Skin		---	OR - L	2	---	Y
Sludge Caecus	Caecus	Theroid	Noctilum	205,220(lo)	21~30	95~156	23265~39631	250~369	141~170	263~388	140~170	250~369	52~80	0/0/-25/-50/0/0		Raw Meaty Caecus Liver	Caecus Crest	Bone-In Thigh Meat	Squishy Cartilage	Slimy Epithelium	---	---		---	SA - B	---	---
Dirt Caecus	Caecus	Theroid	Noctilum	216SW	31~40	163~231	41329~57855	385~525	173~199	404~552	173~200	385~525	83~109	0/0/-25/-50/0/0		Raw Meaty Caecus Liver	Caecus Crest	Bone-In Thigh Meat	Squishy Cartilage	Slimy Epithelium	---	---		---	SA - B	---	---
Drake, the Waypost	Caecus	Theroid	Noctilum	220(lo)	29	313	106761	509	168	534	168	509	74	5/5/-20/-45/5/5		Raw Meaty Caecus Liver	Caecus Crest	Bone-In Thigh Meat	Squishy Cartilage	Slimy Epithelium	---	---		---	SA - B	---	---	Y
Spear Insidia	Insidia	Theroid	Noctilum	204,217,219,222	11~20	51~88	9895~21058	135~236	128~146	125~219	120~138	128~225	32~49	0/0/-25/-50/0/0		Evolved Insidia Claw	Insidia Mohawk	Bone-In Thigh Meat	Chipped Talon	Stiff Hair	---	---		---	SA - L	---	---
Pike Insidia	Insidia	Theroid	Noctilum	214,215,222	21~30	95~156	22296~37979	263~388	148~179	244~360	140~170	250~369	50~78	0/0/-25/-50/0/0		Evolved Insidia Claw	Insidia Mohawk	Bone-In Thigh Meat	Chipped Talon	Stiff Hair	---	---		---	SA - L	---	---
Lambert, the Divine Wind	Insidia	Theroid	Noctilum	219	15	97	41113	358	143	332	134	341	41	5/5/-20/-45/5/5		Evolved Insidia Claw	Insidia Mohawk	Bone-In Thigh Meat	Chipped Talon	Stiff Hair	---	---		---	SA - L	---	---	Y
Vermilion Insidia	Insidia	Theroid	Noctilum	208,218	41~50	241~333	61928~74934	570~739	213~246	529~686	203~235	543~704	109~138	0/0/-25/-50/0/0		Ornate Insidia Claw	Insidia Mohawk	Bone-In Thigh Meat	Chipped Talon	Stiff Hair	---	---		---	SA - L	---	---
Griffus, the Tartarean	Insidia	Theroid	Noctilum	218	49	483	165314	753	253	699	242	718	141	5/5/-20/-45/5/5		Ornate Insidia Claw	Insidia Mohawk	Bone-In Thigh Meat	Chipped Talon	Stiff Hair	---	---		---	SA - L	---	---	Y
Wind Auravis	Auravis	Theroid	Noctilum	[5:00~19:00]: 211,222(air)	21~30	141~232	25437~43330	350~516	148~179	333~491	140~170	342~504	57~89	0/0/-25/-50/0/-25		Unfertilized Auravis Egg	Auravis Laughing Bag	Auravis Horn	Auravis Courtship Feather	Cracked Bill	Filthy Wing	---		〇	OR - M	---	---
Mount Jacul	Jacul	Theroid	Noctilum	[5:00~19:00]: Weeping Whitewood	51~60	509~655	87136~101969	961~1198	244~280	1011~1260	244~281	987~1230	161~199	0/0/-25/-50/0/-25		Fertilized Jacul Egg	Jacul Waterfall Orb	Jacul Horn	Green Jacul Wing	Cracked Bill	Filthy Wing	---		〇	CC - H	---	---
Ripper Vesper	Vesper	Theroid	Noctilum	224	41~50	270~372	59236~71676	597~774	218~252	543~704	203~235	543~704	129~165	0/0/-25/-50/0/-25		Vesper Fry	Vesper Hair Clip	Vesper Fang	Black Fog Deposits	Taut Leather	---	---		〇	SA - H	---	---
Froste, the Courteous	Vesper	Theroid	Noctilum	Vitriol Cesspool	50	557	161271	812	264	739	246	739	173	5/5/-20/-45/5/-20		Vesper Fry	Vesper Hair Clip	Vesper Fang	Black Fog Deposits	Taut Leather	---	---		〇	SA - H	---	---	Y
Abyssal Vesper	Vesper	Theroid	Noctilum	[19:00~5:00]: 211	21~30	106~175	21326~36328	275~406	152~183	250~369	140~170	250~369	60~93	0/0/-25/-50/0/-25		Vesper Fry	Vesper Hair Clip	Vesper Fang	Black Fog Deposits	Taut Leather	---	---		〇	SA - H	---	---
Shinhwa, the Sagacious	Terebra	Theroid	Noctilum	216	24	193	58838	319	158	274	153	304	68	5/5/-20/-45/5/5		Terebra Paw Stamp	Terebra Water Grease	Sharp Ear	Perforated Oar	Taut Leather	---	---		〇	---	---	---	Y
Pound Terebra	Terebra	Theroid	Noctilum	205	11~20	57~99	9895~21058	135~236	125~143	115~202	120~138	128~225	37~56	0/0/-25/-50/0/0		Terebra Paw Stamp	Terebra Oil Grease	Sharp Ear	Perforated Oar	Taut Leather	---	---		〇	---	---	---
Nomad Terebra	Terebra	Theroid	Noctilum	216,225	21~30	106~175	22296~37979	263~388	145~175	225~332	140~170	250~369	59~91	0/0/-25/-50/0/0		Terebra Paw Stamp	Terebra Oil Grease	Sharp Ear	Perforated Oar	Taut Leather	---	---		〇	---	---	---
Crusher Terebra	Terebra	Theroid	Noctilum	216,Whale's Weeper	31~40	182~258	39607~55444	404~552	178~205	346~473	173~200	385~525	94~123	0/0/-25/-50/0/0		Terebra Paw Stamp	Terebra Oil Grease	Sharp Ear	Perforated Oar	Taut Leather	---	---		〇	---	---	---
Mischievous Mephite	Mephite	Theroid	Noctilum	Whale's Nostril	11~20	34~59	8410~17899	115~202	125~143	135~236	120~138	128~225	39~59	0/0/-25/-50/0/0		Mephite Stinkbag	Green Puff	Mephite Ear Hair	Lightweight Pelt	Fleecy Fur	---	---		〇	---	---	---
Malicious Mephite	Mephite	Theroid	Noctilum	sharkmouthcave	31~40	182~258	39607~55444	346~473	178~205	404~552	173~200	385~525	99~129	0/0/-25/-50/0/0		Mephite Stinkbag	Green Puff	Mephite Ear Hair	Lightweight Pelt	Fleecy Fur	---	---		〇	---	---	---
Gerhardt, the Lone and Proud	Mephite	Theroid	Noctilum	Whale's Nostril	12	91	24330	131	133	153	128	146	43	5/5/-20/-45/5/5		Mephite Stinkbag	Green Puff	Mephite Ear Hair	Lightweight Pelt	Fleecy Fur	---	---		〇	---	---	---	Y
Jocular Saltat	Saltat	Theroid	Noctilum	222NW	11~20	60~104	10326~21974	125~219	125~143	125~219	120~138	128~225	35~53	0/0/-25/-50/0/0		Saltat Horn	Golden Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Jarosch, the Sensational	Saltat	Theroid	Noctilum	222E(rarely replaces Jade Saltat)	23	204	72920	320	172	320	166	291	68	5/5/-20/-45/5/5		Saltat Horn	Galaxial Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SA - L, SS - L	---	---	Y
Aria, the Zauberflöte	Saltat	Theroid	Noctilum	222NW	13	104	28749	157	138	157	133	157	41	5/5/-20/-45/5/5		Saltat Horn	Demonic Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SA - L	---	---	Y
Jade Saltat	Saltat	Theroid	Noctilum	222E(giantredflower?)	11~20	62~108	11616~24721	135~236	131~150	135~236	126~144	128~225	36~55	0/0/-25/-50/0/0		Saltat Horn	Sky Jewel	Glossy Saltat Fan	Vibrant Plume	Filthy Wing	---	---		〇	SS - L	---	---
Wood Potamus	Potamus	Theroid	Noctilum	222	21~30	112~184	24235~41282	256~378	145~175	256~378	140~170	250~369	49~76	0/0/-25/-50/0/0		Potamus Life Lung	Hot Potamus Juice	Hulking Incisor	Succulent Meat	Muddy Pelt	---	---		---	SA - B	---	---
Merciful Dilus	Dilus	Theroid	Noctilum	217,222	31~40	282~400	54864~76803	630~860	195~225	498~681	168~195	472~645	79~103	0/0/-25/-50/0/0		Crimson Dilus Eye	Moving Dilus Tail	Pristine Dorsal Fin	Cloudy Eyeball	Quality Pelt	Muddy Pelt	---		---	GG - M	---	---
Acid Dilus	Dilus	Theroid	Noctilum	204,222NE	41~50	417~576	85784~103799	889~1152	228~264	703~912	197~229	666~864	106~135	0/0/-25/-50/0/0		Crimson Dilus Eye	Moving Dilus Tail	Pristine Dorsal Fin	Cloudy Eyeball	Quality Pelt	Muddy Pelt	---		---	GG - M	---	---
Hunter Dilus	Dilus	Theroid	Noctilum	207NW	51~60	594~764	105799~123809	1184~1476	268~308	937~1168	233~268	888~1107	138~171	0/0/-25/-50/0/0		Crimson Dilus Eye	Moving Dilus Tail	Pristine Dorsal Fin	Cloudy Eyeball	Quality Pelt	Muddy Pelt	---		---	GG - M	---	---
Sarcosuchus, the Iron-Eater	Dilus	Theroid	Noctilum	217	39	572	166974	873	233	691	201	654	105	5/5/-20/-45/5/5		Crimson Dilus Eye	Moving Dilus Tail	Pristine Dorsal Fin	Cloudy Eyeball	Quality Pelt	Muddy Pelt	---		---	GG - M	---	---	Y
Tainted Sphinx	Tainted	Theroid	Noctilum	Chapter 6, Time Attack	24	1530	62546	264	158	264	138	237	64	10/10/-15/0/10/0		Imperial Sphinx Fang	Blazing Gas Sac	Pristine Bristle	---	---	---	---					
Tainted Caro	Tainted	Theroid	Noctilum	214NE	21~30	118~193	25204~42933	288~425	152~183	225~332	129~157	250~369	59~91	0/0/-25/-50/0/0		Pure White Caro Tusk	Caro Tail Light	Shiny Copper Caro Plate	Slimy Tongue	Taut Leather	---	---		---	ME - L	---	---
Scandium Petramand	Petramand	Insectoid	Noctilum	216	41~50	270~372	47087~56975	570~738	218~252	515~668	203~235	543~703	112~142	35/0/-25/-25/0/0		Rainbow Metal	Silver Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---
Holmium Petramand	Petramand	Insectoid	Noctilum	224	51~60	537~692	72591~84949	1036~1291	256~294	937~1168	239~275	987~1230	146~180	35/0/-25/-25/0/0		Rainbow Metal	Silver Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---
Merciful Scirpo	Scirpo	Insectoid	Noctilum	Weeping Whitewood	51~60	537~692	72591~84949	961~1198	244~280	961~1198	239~275	987~1230	154~190	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Malic Acid Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Garnet Scirpo	Scirpo	Insectoid	Noctilum	Weeping Whitewood	51~60	537~692	72591~84949	961~1198	244~280	961~1198	239~275	987~1230	154~190	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Cyanide Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Desdemona, the Subterranean	Scirpo	Insectoid	Noctilum	222	11	119	21159	179	131	179	126	184	36	40/5/-20/-20/5/5		Scirpo Silk	Scirpo Cyanide Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---	Y
Elena, the Infernal	Scirpo	Insectoid	Noctilum	Weeping Whitewood (Dense Fog)	79	3536	1199107	2372	313	2372	308	2435	219	40/5/-20/-20/5/5		Scirpo Silk	Scirpo Sulfuric Acid Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---	Y
Soma Scirpo	Scirpo	Insectoid	Noctilum	209	1~10	19~53	1199~6840	32~115	105~123	32~115	100~118	33~118	15~33	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Malic Acid Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Amrita Scirpo	Scirpo	Insectoid	Noctilum	205,217,222	11~20	57~99	7524~16012	125~219	125~143	125~219	120~138	128~225	35~53	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Malic Acid Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Surtr Scirpo	Scirpo	Insectoid	Noctilum	215,220N	21~30	149~245	21191~36097	333~491	145~175	333~491	140~170	342~504	55~85	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Malic Acid Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Talos Scirpo	Scirpo	Insectoid	Noctilum	217	31~40	255~362	37644~52696	511~698	178~205	511~698	173~200	525~717	88~115	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Malic Acid Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Carnal Scirpo	Scirpo	Insectoid	Noctilum	220N	21~30	149~245	21191~36097	333~491	145~175	333~491	140~170	342~504	55~85	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Cyanide Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Breather Scirpo	Scirpo	Insectoid	Noctilum	222E, Weeping Whitewood	41~50	378~521	58859~71219	722~935	208~240	722~935	203~235	741~960	118~150	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Malic Acid Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Pillager Scirpo	Scirpo	Insectoid	Noctilum	205,220NW(lo),222	11~20	57~99	7524~16012	125~219	125~143	125~219	120~138	128~225	35~53	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Cyanide Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Ocean Forfex	Forfex	Insectoid	Noctilum	216SE(lo),218,221SE	41~50	358~494	55520~67179	815~1056	218~252	666~864	213~246	741~960	106~135	40/0/-25/-25/0/0		Forfex Miso	Red Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Violet Forfex	Forfex	Insectoid	Noctilum	212SW	1~10	18~50	1131~6452	37~130	110~129	30~106	105~123	33~118	13~29	40/0/-25/-25/0/0		Forfex Miso	Blue Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Cobalt Forfex	Forfex	Insectoid	Noctilum	222	11~20	54~94	7096~15103	141~247	131~150	115~202	126~144	128~225	31~47	40/0/-25/-25/0/0		Forfex Miso	Blue Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Viridian Forfex	Forfex	Insectoid	Noctilum	212	21~30	101~166	15991~27239	275~406	152~183	225~332	147~178	250~369	49~76	40/0/-25/-25/0/0		Forfex Miso	Blue Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Schneider, the Cliffpercher	Forfex	Insectoid	Noctilum	212SW, on a ledge down the waterfall	10	76	14514	137	135	112	130	124	31	45/5/-20/-20/5/5		Forfex Miso	Blue Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---	Y
Carmine Forfex	Forfex	Insectoid	Noctilum	209,220NW(lo)	1~10	25~71	1414~8066	51~178	110~129	41~145	105~123	46~162	13~29	40/0/-25/-25/0/0		Forfex Miso	Red Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
